PeakID (cmd=annotatePeaks.pl ./top_concordant_peaks_full-set.narrowPeak hg19 -noann)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr11-36171431-2	chr11	36171376	36171486	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-71980	NR_135064	101928510		NR_135064		LOC101928510	-	uncharacterized LOC101928510	ncRNA
Merged-chr8-123702245-2	chr8	123702174	123702316	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	4100	NR_126348	104266958		NR_126348		LINC01151	-	long intergenic non-protein coding RNA 1151	ncRNA
Merged-chr17-15857788-2	chr17	15857705	15857871	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	9557	NM_000676	136		NM_000676	ENSG00000170425	ADORA2B	ADORA2	adenosine A2b receptor	protein-coding
Merged-chr14-54779075-2	chr14	54779016	54779135	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-84511	NM_001330173	1033		NM_005192	ENSG00000100526	CDKN3	CDI1|CIP2|KAP|KAP1	cyclin dependent kinase inhibitor 3	protein-coding
Merged-chr6-1326084-2	chr6	1326014	1326155	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	13751	NM_033260	94234		NM_033260	ENSG00000164379	FOXQ1	HFH1	forkhead box Q1	protein-coding
Merged-chr2-36713927-2	chr2	36713835	36714020	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	111384	NM_005102	9637		NM_005102	ENSG00000171055	FEZ2	HUM3CL	fasciculation and elongation protein zeta 2	protein-coding
Merged-chr1-161440928-2	chr1	161440876	161440980	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-34319	NM_001375297	2212		NM_021642	ENSG00000143226	FCGR2A	CD32|CD32A|CDw32|FCG2|FCGR2|FCGR2A1|FcGR|FcgammaRIIa|IGFR2	Fc gamma receptor IIa	protein-coding
Merged-chr10-47152793-2	chr10	47152741	47152845	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-1393	NR_033957	643650		NR_033957	ENSG00000285294	LINC00842	-	long intergenic non-protein coding RNA 842	ncRNA
Merged-chr1-209830718-2	chr1	209830659	209830777	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-4948	NM_000228	3914		NM_000228	ENSG00000196878	LAMB3	AI1A|BM600-125KDA|JEB1A|JEB1B|LAM5|LAMNB1	laminin subunit beta 3	protein-coding
Merged-chr3-177488741-2	chr3	177488653	177488830	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-45912	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
Merged-chr3-193603668-2	chr3	193603573	193603764	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-41870	NR_146718	105374285		NR_146718		LINC02038	-	long intergenic non-protein coding RNA 2038	ncRNA
Merged-chr1-42131074-2	chr1	42131022	42131127	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-180720	NR_126098	1907		NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding
Merged-chr6-26365699-2	chr6	26365643	26365755	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	273	NM_001197247	11118		NM_007047	ENSG00000186470	BTN3A2	BT3.2|BTF4|BTN3.2|CD277	butyrophilin subfamily 3 member A2	protein-coding
Merged-chr8-124169656-2	chr8	124169602	124169710	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-21631	NM_207006	84985		NM_032899	ENSG00000147689	FAM83A	BJ-TSA-9	family with sequence similarity 83 member A	protein-coding
Merged-chr19-23737510-2	chr19	23737438	23737582	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	132504	NM_138330	171392		NM_138330	ENSG00000197372	ZNF675	TBZF|TIZ	zinc finger protein 675	protein-coding
Merged-chr21-40191979-2	chr21	40191896	40192062	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	14126	NM_005239	2114		NM_005239	ENSG00000157557	ETS2	ETS2IT1	ETS proto-oncogene 2, transcription factor	protein-coding
Merged-chr19-16308195-2	chr19	16308125	16308265	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-527	NM_032493	8907		NM_032493	ENSG00000072958	AP1M1	AP47|CLAPM2|CLTNM|MU-1A|mu1A	adaptor related protein complex 1 subunit mu 1	protein-coding
Merged-chr10-120671089-2	chr10	120671013	120671165	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-118137	NM_199461	340719		NM_199461	ENSG00000188613	NANOS1	EC_Rep1a|NOS-1|NOS1|SPGF12|ZC2HC12A	nanos C2HC-type zinc finger 1	protein-coding
Merged-chr1-149684258-2	chr1	149684169	149684348	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	35104	NR_135813	101929798		NR_135813	ENSG00000290904	PDE4DIPP4	CH17-118O6.3	PDE4DIP pseudogene 4	pseudo
Merged-chr5-168139780-2	chr5	168139707	168139854	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	5848	NR_130737	101927969		NR_130737		SLIT3-AS2	-	SLIT3 antisense RNA 2	ncRNA
Merged-chr3-63710845-2	chr3	63710780	63710911	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	72494	NM_001348756	132203		NM_001080537	ENSG00000188817	SNTN	S100A1L|S100AL|sentan	sentan, cilia apical structure protein	protein-coding
Merged-chr8-105759177-2	chr8	105759120	105759234	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-157925	NM_001135703	29967		NM_013437	ENSG00000147650	LRP12	ALS28|MIG13A|ST7	LDL receptor related protein 12	protein-coding
Merged-chr7-102034128-2	chr7	102034047	102034210	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-2682	NM_024653	79706		NM_024653	ENSG00000128563	PRKRIP1	C114|KRBOX3	PRKR interacting protein 1	protein-coding
Merged-chr1-1296177-2	chr1	1296092	1296262	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	1002	NM_001282583	54587		NM_032348	ENSG00000162576	MXRA8	ASP3	matrix remodeling associated 8	protein-coding
Merged-chr6-27059565-2	chr6	27059514	27059617	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	41009	NM_021058	8970		NM_021058	ENSG00000124635	H2BC11	H2B/r|H2BFR|H2BJ|HIST1H2BJ	H2B clustered histone 11	protein-coding
Merged-chr1-240967904-2	chr1	240967839	240967970	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-192449	NM_022469	64388		NM_022469	ENSG00000180875	GREM2	CKTSF1B2|DAND3|PRDC|STHAG9	gremlin 2, DAN family BMP antagonist	protein-coding
Merged-chr17-45344926-2	chr17	45344868	45344984	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	13733	NM_000212	3690		NM_000212	ENSG00000259207	ITGB3	BDPLT16|BDPLT2|BDPLT24|CD61|GP3A|GPIIIa|GT|GT2	integrin subunit beta 3	protein-coding
Merged-chr6-28763839-2	chr6	28763773	28763905	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	67615	NR_033379	401242		NR_033379	ENSG00000225595	LINC01623	-	long intergenic non-protein coding RNA 1623	ncRNA
Merged-chr6-140383339-2	chr6	140383239	140383439	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-70941	NR_121624	103352541		NR_121624		LOC103352541	-	uncharacterized LOC103352541	ncRNA
Merged-chr10-112389751-2	chr10	112389671	112389831	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-14343	NM_001134363	282996		NM_001134363	ENSG00000203867	RBM20	-	RNA binding motif protein 20	protein-coding
Merged-chr6-26533301-2	chr6	26533234	26533369	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-5293	NM_006353	10473		NM_006353	ENSG00000182952	HMGN4	HMG17L3|NHC	high mobility group nucleosomal binding domain 4	protein-coding
Merged-chr5-97685321-2	chr5	97685250	97685392	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-188378	NR_146477	105379098		NR_146477	ENSG00000248901	LINC01846	-	long intergenic non-protein coding RNA 1846	ncRNA
Merged-chr9-139466693-2	chr9	139466642	139466744	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	24399	NR_121577	101928483		NR_121577		NALT1	LINC01573|MIR4674HG|NALT|TCONS_l2_00029132	NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1	ncRNA
Merged-chr7-106413873-2	chr7	106413816	106413930	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-91854	NM_001282427	5294		NM_002649	ENSG00000105851	PIK3CG	IMD97|PI3CG|PI3K|PI3Kgamma|PIK3|p110gamma|p120-PI3K	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	protein-coding
Merged-chr12-31671891-2	chr12	31671811	31671972	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-70966	NR_046909	100874249		NR_046909	ENSG00000255867	DENND5B-AS1	-	DENND5B antisense RNA 1	ncRNA
Merged-chr16-69951984-2	chr16	69951914	69952054	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-6958	NM_199424	11060		NM_007014	ENSG00000198373	WWP2	AIP2|WWp2-like	WW domain containing E3 ubiquitin protein ligase 2	protein-coding
Merged-chr4-106043649-2	chr4	106043596	106043703	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-23383	NM_017628	54790		NM_017628	ENSG00000168769	TET2	IMD75|KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
Merged-chr6-12718400-2	chr6	12718339	12718462	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-125	NM_001322309	221692		NM_030948	ENSG00000112137	PHACTR1	DEE70|EIEE70|RPEL|RPEL1|dJ257A7.2	phosphatase and actin regulator 1	protein-coding
Merged-chr2-39775159-2	chr2	39775088	39775231	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	110602	NR_037875	728730		NR_037875	ENSG00000231312	MAP4K3-DT	-	MAP4K3 divergent transcript	ncRNA
Merged-chr17-38668591-2	chr17	38668523	38668660	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-10716	NM_032865	84951		NM_032865	ENSG00000131746	TNS4	CTEN|PP14434	tensin 4	protein-coding
Merged-chr16-87230039-2	chr16	87229960	87230119	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-15682	NR_110939	101928708		NR_110939	ENSG00000261095	LOC101928708	-	uncharacterized LOC101928708	ncRNA
Merged-chr10-125754976-2	chr10	125754900	125755052	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	96946	NM_015892	51363		NM_014863	ENSG00000182022	CHST15	BRAG|GALNAC4S-6ST	carbohydrate sulfotransferase 15	protein-coding
Merged-chr19-9763841-2	chr19	9763784	9763898	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	21935	NM_001300885	54811		NM_017656	ENSG00000171466	ZNF562	-	zinc finger protein 562	protein-coding
Merged-chr8-20236175-2	chr8	20236089	20236261	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-74701	NM_021020	11178		NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
Merged-chr17-76183250-2	chr17	76183168	76183332	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	35	NM_001363848	7083		NM_003258	ENSG00000167900	TK1	TK2	thymidine kinase 1	protein-coding
Merged-chr5-72888640-2	chr5	72888565	72888716	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	27072	NM_032175	84135		NM_032175	ENSG00000164338	UTP15	NET21	UTP15 small subunit processome component	protein-coding
Merged-chr6-31528368-2	chr6	31528303	31528433	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-11508	NM_001159740	4049		NM_000595	ENSG00000226979	LTA	LT|TNFB|TNFSF1|TNLG1E	lymphotoxin alpha	protein-coding
Merged-chr6-43912821-2	chr6	43912760	43912882	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	54056	NR_024478	100132354		NR_024478	ENSG00000289313	LINC01512	HI-LNC77	long intergenic non-protein coding RNA 1512	ncRNA
Merged-chr20-30292509-2	chr20	30292458	30292560	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-16801	NR_131907	103021294		NR_131907	ENSG00000281376	ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA	ncRNA
Merged-chr2-45839574-2	chr2	45839494	45839655	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-1168	NM_018079	55133		NM_018079	ENSG00000068784	SRBD1	-	S1 RNA binding domain 1	protein-coding
Merged-chr9-75593836-2	chr9	75593786	75593887	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-25867	NM_000689	216		NM_000689	ENSG00000165092	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1	protein-coding
Merged-chr2-47998447-2	chr2	47998379	47998516	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-11774	NM_001281492	2956		NM_000179	ENSG00000116062	MSH6	GTBP|GTMBP|HNPCC5|HSAP|LYNCH5|MMRCS3|MSH-6|p160	mutS homolog 6	protein-coding
Merged-chr19-33321692-2	chr19	33321611	33321774	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	38981	NM_001126335	11136		NM_014270	ENSG00000021488	SLC7A9	BAT1|CSNU3	solute carrier family 7 member 9	protein-coding
Merged-chr2-71698678-2	chr2	71698609	71698748	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	4849	NM_001130983	8291		NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|LGMDR2|MMD1	dysferlin	protein-coding
Merged-chr5-172382703-2	chr5	172382646	172382761	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-3029	NM_001317981	51121		NM_016093	ENSG00000037241	RPL26L1	RPL26P1	ribosomal protein L26 like 1	protein-coding
Merged-chr15-74689512-2	chr15	74689436	74689589	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	14261	NR_106941	102465530		NR_106941	ENSG00000277391	MIR6881	hsa-mir-6881	microRNA 6881	ncRNA
Merged-chr14-55119089-2	chr14	55119032	55119146	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	84759	NM_001161576	23034		NM_015589	ENSG00000020577	SAMD4A	SAMD4|SMAUG|SMAUG1|SMG|SMGA	sterile alpha motif domain containing 4A	protein-coding
Merged-chr11-128078128-2	chr11	128078051	128078205	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-533	NR_146647	105369564		NR_146647	ENSG00000272575	LINC02098	-	long intergenic non-protein coding RNA 2098	ncRNA
Merged-chr5-56731847-2	chr5	56731794	56731900	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	46791	NM_001017992	345651		NM_001017992	ENSG00000169067	ACTBL2	ACT	actin beta like 2	protein-coding
Merged-chr1-228777383-2	chr1	228777325	228777441	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	2291	NR_023374	100169763		NR_023374	ENSG00000199270	RNA5S12	RN5S12	RNA, 5S ribosomal 12	rRNA
Merged-chr6-130157028-2	chr6	130156965	130157091	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	25432	NM_001010876	253582		NM_001010876	ENSG00000203756	TMEM244	C6orf191|bA174C7.4	transmembrane protein 244	protein-coding
Merged-chr1-70176339-2	chr1	70176272	70176407	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	141315	NM_001366842	57554		NM_020794	ENSG00000033122	LRRC7	DENSIN	leucine rich repeat containing 7	protein-coding
Merged-chr18-25423993-2	chr18	25423935	25424052	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	192612	NM_001308176	1000		NM_001792	ENSG00000170558	CDH2	ACOGS|ADHD8|ARVD14|CD325|CDHN|CDw325|NCAD	cadherin 2	protein-coding
Merged-chr7-41067201-2	chr7	41067134	41067268	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-47664	NR_110831	101928744		NR_110831	ENSG00000232458	LINC01450	-	long intergenic non-protein coding RNA 1450	ncRNA
Merged-chr3-162013295-2	chr3	162013200	162013391	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	798699	NM_001080440	131149		NM_001080440	ENSG00000182447	OTOL1	C1QTNF15|C1QTNF16	otolin 1	protein-coding
Merged-chr2-26108948-2	chr2	26108885	26109012	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-7592	NM_018263	55252		NM_018263	ENSG00000143970	ASXL2	ASXH2|SHAPNS	ASXL transcriptional regulator 2	protein-coding
Merged-chr5-1555747-2	chr5	1555683	1555812	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-31672	NM_024830	79888		NM_024830	ENSG00000153395	LPCAT1	AGPAT10|AGPAT9|AYTL2|LPCAT-1|LPLAT8|PFAAP3|lpcat|lysoPAFAT	lysophosphatidylcholine acyltransferase 1	protein-coding
Merged-chr14-32672532-2	chr14	32672482	32672582	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-57	NR_004394	26827		NR_004394	ENSG00000206625	RNU6-1	RNU6|RNU6A|U6|U6-1	RNA, U6 small nuclear 1	snRNA
